epoch_number,average reward
0,-27.746131393433373
20,-8.479321762683197
40,-11.112570022728173
60,-11.474979566541535
80,-11.192895809632015
100,-11.749300631761736
120,-12.751545971554199
140,-12.509558879356147
160,-11.451830366492846
180,-15.227334129587232
200,-15.002239837130631
220,-16.02216345662149
240,-15.510827290957518
260,-17.046722953890672
280,-14.180769377714503
300,-12.152294457059435
320,-11.079073796023287
340,-12.092117756704566
360,-10.230627534493687
380,-8.432060788367437
400,-9.291063990897907
420,-8.339987994351382
440,-8.238067776031262
460,-9.521633114527678
480,-10.180090602861336
500,-12.68732242717006
520,-12.21014555548618
540,-10.419989698703592
560,-11.957964113487588
580,-11.377621669003993
600,-10.330279345101198
620,-13.508435025704221
640,-15.6264559129473
660,-14.585109223730644
680,-15.945874430188148
700,-16.608824333053658
720,-16.07732377317399
740,-17.53450256692056
760,-18.24629033868041
780,-19.749490674539057
800,-18.100416111722048
820,-17.551476156565034
840,-14.811071170386096
860,-13.207930836164424
880,-12.442451163616054
900,-12.113103128282141
920,-10.48037998447616
940,-12.414148530546822
960,-15.381905838615717
980,-15.46872136667151
1000,-17.659805914744805
1020,-20.37160474161699
1040,-20.600189608247923
1060,-16.859064817323212
1080,-16.773941247624194
1100,-17.50349043111084
1120,-15.990743109310442
1140,-13.034618289059633
1160,-16.825825581292918
1180,-16.59150132579667
1200,-17.05873161312134
1220,-15.383899389449017
1240,-17.225174778936353
1260,-15.424009568097377
1280,-15.695588221460866
1300,-13.269757121777317
1320,-14.081394482709177
1340,-12.393487149051158
1360,-12.136730765199536
1380,-11.027233683135215
1400,-11.156801701831505
1420,-11.59766369814251
1440,-11.707222469848364
1460,-12.165025686446677
1480,-11.420730250456149
1500,-10.905797877535534
1520,-10.309707386001906
1540,-11.04677084356392
1560,-10.570814075406686
1580,-11.018331992040968
1600,-12.599670610907344
1620,-13.701091027156469
1640,-15.20164134938334
1660,-17.231599775071732
1680,-18.37389237281536
1700,-16.467310811022557
1720,-15.17546119263352
1740,-15.589023818278363
1760,-13.163232584418335
1780,-11.881187740166338
1800,-11.801444023214808
1820,-12.972205177842712
1840,-12.430663745940777
1860,-12.205759037830783
1880,-14.19978194299686
1900,-16.855208073623018
1920,-17.982207189066415
1940,-18.909186578460737
1960,-20.537279700564486
1980,-18.872306995237885
2000,-15.989993848329568
2020,-13.45157174496366
2040,-12.684805778210684
2060,-11.338687937104737
2080,-11.64293894936173
2100,-11.673133163878717
2120,-14.848092389785451
2140,-12.744542481263274
2160,-12.874191077373196
2180,-14.17005841643984
2200,-16.089072564939748
2220,-13.222391483000344
2240,-14.381003527869428
2260,-13.279635462468946
2280,-13.92517453710848
2300,-12.659374794308667
2320,-14.235478168035188
2340,-13.847568917616309
2360,-17.003291681530605
2380,-16.423369395162773
2400,-16.58890022112255
2420,-18.061826936853958
2440,-19.327763084277823
2460,-16.080041526260796
2480,-14.205218313039909
2500,-15.422985702532378
2520,-15.6013584112707
2540,-13.60817008226414
2560,-14.365272644777528
2580,-16.262447315872947
2600,-15.869421211308893
2620,-12.368964932663882
2640,-16.550108764134112
2660,-17.47962902577486
2680,-16.26998131961672
2700,-14.421355945548344
2720,-17.62931267358458
2740,-16.14022747405357
2760,-16.774896302677817
2780,-14.594062536648671
2800,-16.0943471561015
2820,-13.148896023943978
2840,-10.826667275407594
2860,-9.363920904241345
2880,-11.468029496712276
2900,-11.950905880662253
2920,-13.883438574997754
2940,-14.086341089549007
2960,-15.297112832014312
2980,-14.162019889425435
